小橙子央卫视,#genre#
CCTV-1 综合,http://10000.win14.eu.org:18975/23/010.php?id=cctv1.m3u8
CCTV-2 财经,http://10000.win14.eu.org:18975/23/010.php?id=cctv2.m3u8
CCTV-3 综艺,http://10000.win14.eu.org:18975/23/010.php?id=cctv3.m3u8
CCTV-4 中文国际,http://10000.win14.eu.org:18975/23/010.php?id=cctv4.m3u8
CCTV-5 体育,http://10000.win14.eu.org:18975/23/010.php?id=cctv5.m3u8
CCTV-5+体育赛事,http://10000.win14.eu.org:18975/23/010.php?id=cctv5p.m3u8
CCTV-6 电影,http://10000.win14.eu.org:18975/23/010.php?id=cctv6.m3u8
CCTV-7 国防军事,http://10000.win14.eu.org:18975/23/010.php?id=cctv7.m3u8
CCTV-8 电视剧,http://10000.win14.eu.org:18975/23/010.php?id=cctv8.m3u8
CCTV-9 纪录,http://10000.win14.eu.org:18975/23/010.php?id=cctv9.m3u8
CCTV-10 科教,http://10000.win14.eu.org:18975/23/010.php?id=cctv10.m3u8
CCTV-11 戏曲,http://10000.win14.eu.org:18975/23/010.php?id=cctv11.m3u8
CCTV-12 社会与法,http://10000.win14.eu.org:18975/23/010.php?id=cctv12.m3u8
CCTV-13 新闻,http://10000.win14.eu.org:18975/23/010.php?id=cctv13.m3u8
CCTV-14 少儿,http://10000.win14.eu.org:18975/23/010.php?id=cctv14.m3u8
CCTV-15 音乐,http://10000.win14.eu.org:18975/23/010.php?id=cctv15.m3u8
CCTV-16 奥林匹克,http://10000.win14.eu.org:18975/23/010.php?id=cctv16.m3u8
CCTV-17 农业农村,http://10000.win14.eu.org:18975/23/010.php?id=cctv17.m3u8
广州综合,http://10000.win14.eu.org:18975/23/020.php?pd=zonghe
广州新闻,http://10000.win14.eu.org:18975/23/020.php?pd=xinwen
广州法治,http://10000.win14.eu.org:18975/23/020.php?pd=fazhi
广州竞赛,http://10000.win14.eu.org:18975/23/020.php?pd=jingsai
广州影视,http://10000.win14.eu.org:18975/23/020.php?pd=yingshi
南国都市[4K],http://10000.win14.eu.org:18975/23/020.php?pd=nanguo
东莞新闻,http://10000.win14.eu.org:18975/23/020.php?pd=dgxw
东莞生活,http://10000.win14.eu.org:18975/23/020.php?pd=dgsh
佛山综合,http://10000.win14.eu.org:18975/23/0757.php?id=fszh
佛山影视,http://10000.win14.eu.org:18975/23/0757.php?id=fsys
佛山公共,http://10000.win14.eu.org:18975/23/0757.php?id=fsgg
佛山南海,http://10000.win14.eu.org:18975/23/0757.php?id=fsnh
佛山顺德,http://10000.win14.eu.org:18975/23/0757.php?id=fssd
佛山高明,http://10000.win14.eu.org:18975/23/0757.php?id=fsgm
佛山三水,http://10000.win14.eu.org:18975/23/0757.php?id=fsss
CCTV-1 综合,http://10000.win14.eu.org:18975/23/020_1.php?id=G_CCTV-1-CQ.m3u8
CCTV-2 财经,http://10000.win14.eu.org:18975/23/020_1.php?id=G_CCTV-2-CQ.m3u8
CCTV-3 综艺,http://10000.win14.eu.org:18975/23/020_1.php?id=G_CCTV-3-CQ.m3u8
CCTV-4 中文国际,http://10000.win14.eu.org:18975/23/020_1.php?id=G_CCTV-4-CQ.m3u8
CCTV-5 体育,http://10000.win14.eu.org:18975/23/020_1.php?id=G_CCTV-5-CQ.m3u8
CCTV-5+体育赛事,http://10000.win14.eu.org:18975/23/020_1.php?id=G_CCTV-5PLUS-CQ.m3u8
CCTV-6 电影,http://10000.win14.eu.org:18975/23/020_1.php?id=G_CCTV-6-CQ.m3u8
CCTV-7 国防军事,http://10000.win14.eu.org:18975/23/020_1.php?id=G_CCTV-7-CQ.m3u8
CCTV-8 电视剧,http://10000.win14.eu.org:18975/23/020_1.php?id=G_CCTV-8-CQ.m3u8
CCTV-9 纪录,http://10000.win14.eu.org:18975/23/020_1.php?id=G_CCTV-9-CQ.m3u8
CCTV-10 科教,http://10000.win14.eu.org:18975/23/020_1.php?id=G_CCTV-10-CQ.m3u8
CCTV-11 戏曲,http://10000.win14.eu.org:18975/23/020_1.php?id=G_CCTV-11-CQ.m3u8
CCTV-12 社会与法,http://10000.win14.eu.org:18975/23/020_1.php?id=G_CCTV-12-CQ.m3u8
CCTV-13 新闻,http://10000.win14.eu.org:18975/23/020_1.php?id=G_CCTV-13-CQ.m3u8
CCTV-14 少儿,http://10000.win14.eu.org:18975/23/020_1.php?id=G_CCTV-14-CQ.m3u8
CCTV-15 音乐,http://10000.win14.eu.org:18975/23/020_1.php?id=G_CCTV-15-CQ.m3u8
CCTV-16 奥林匹克,http://10000.win14.eu.org:18975/23/020_1.php?id=G_CCTV-16-CQ.m3u8
CCTV-17 农业农村,http://10000.win14.eu.org:18975/23/020_1.php?id=G_CCTV-17-CQ.m3u8
CGTN,http://10000.win14.eu.org:18975/23/020_1.php?id=G_CCTV-NEWS.m3u8
CGTN俄语,http://10000.win14.eu.org:18975/23/020_1.php?id=G_CGTN-PYCCNN.m3u8
CGTN西语,http://10000.win14.eu.org:18975/23/020_1.php?id=G_CGTN-ESPANOL.m3u8
CGTN法语,http://10000.win14.eu.org:18975/23/020_1.php?id=G_CGTN-FRANCAIS.m3u8
CGTN阿语,http://10000.win14.eu.org:18975/23/020_1.php?id=G_CGTN_A.m3u8
湖南卫视,http://10000.win14.eu.org:18975/23/020_1.php?id=G_HUNAN-CQ.m3u8
浙江卫视,http://10000.win14.eu.org:18975/23/020_1.php?id=G_ZHEJIANG-CQ.m3u8
江苏卫视,http://10000.win14.eu.org:18975/23/020_1.php?id=G_JIANGSU-CQ.m3u8
北京卫视,http://10000.win14.eu.org:18975/23/020_1.php?id=G_BEIJING-CQ.m3u8
东方卫视,http://10000.win14.eu.org:18975/23/020_1.php?id=G_DONGFANG-CQ.m3u8
深圳卫视,http://10000.win14.eu.org:18975/23/020_1.php?id=G_SHENZHEN-CQ.m3u8
广东卫视,http://10000.win14.eu.org:18975/23/020_1.php?id=G_GUANGDONG-CQ.m3u8
天津卫视,http://10000.win14.eu.org:18975/23/020_1.php?id=G_TIANJIN-CQ.m3u8
辽宁卫视,http://10000.win14.eu.org:18975/23/020_1.php?id=G_LIAONING-CQ.m3u8
山东卫视,http://10000.win14.eu.org:18975/23/020_1.php?id=G_SHANDONG-CQ.m3u8
吉林卫视,http://10000.win14.eu.org:18975/23/020_1.php?id=G_JILIN-CQ.m3u8
黑龙江卫视,http://10000.win14.eu.org:18975/23/020_1.php?id=G_HEILONGJIANG-CQ.m3u8
安徽卫视,http://10000.win14.eu.org:18975/23/020_1.php?id=G_ANHUI-CQ.m3u8
湖北卫视,http://10000.win14.eu.org:18975/23/020_1.php?id=G_HUBEI-CQ.m3u8
河北卫视,http://10000.win14.eu.org:18975/23/020_1.php?id=G_HEBEI-CQ.m3u8
河南卫视,http://10000.win14.eu.org:18975/23/020_1.php?id=G_HENAN-CQ.m3u8
四川卫视,http://10000.win14.eu.org:18975/23/020_1.php?id=G_SICHUAN-CQ.m3u8
重庆卫视,http://10000.win14.eu.org:18975/23/020_1.php?id=G_CHONGQING-CQ.m3u8
广西卫视,http://10000.win14.eu.org:18975/23/020_1.php?id=G_GUANGXI-HQ.m3u8
江西卫视,http://10000.win14.eu.org:18975/23/020_1.php?id=G_JIANGXI-CQ.m3u8
云南卫视,http://10000.win14.eu.org:18975/23/020_1.php?id=G_YUNNAN-CQ.m3u8
甘肃卫视,http://10000.win14.eu.org:18975/23/020_1.php?id=G_GANSU-HQ.m3u8
陕西卫视,http://10000.win14.eu.org:18975/23/020_1.php?id=G_SHANXI-HQ.m3u8
贵州卫视,http://10000.win14.eu.org:18975/23/020_1.php?id=G_GUIZHOU-CQ.m3u8
宁夏卫视,http://10000.win14.eu.org:18975/23/020_1.php?id=G_NINGXIA.m3u8
青海卫视,http://10000.win14.eu.org:18975/23/020_1.php?id=G_QINGHAI.m3u8
西藏卫视,http://10000.win14.eu.org:18975/23/020_1.php?id=G_XIZANG.m3u8
新疆卫视,http://10000.win14.eu.org:18975/23/020_1.php?id=G_XINJIANG.m3u8
延边卫视,http://10000.win14.eu.org:18975/23/020_1.php?id=G_YANBIAN.m3u8
东南卫视,http://10000.win14.eu.org:18975/23/020_1.php?id=G_DONGNAN-CQ.m3u8
厦门卫视,http://10000.win14.eu.org:18975/23/020_1.php?id=G_XIAMEN.m3u8
